City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
672,Trinidad,BO,75.31,heavy intensity rain,-14.8333,-64.9,Hotel Piesta
673,Pathein,MM,77.92,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
674,Axim,GH,78.22,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
678,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
687,Moerai,PF,79.05,scattered clouds,-22.4333,-151.3333,Le Manotel
688,Totness,SR,75.74,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
697,Vao,NC,80.28,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
698,Kudat,MY,81.5,broken clouds,6.8837,116.8477,Dream Garden Hotel
699,Tabuleiro Do Norte,BR,78.89,overcast clouds,-5.2467,-38.1306,Hotel Central I
