City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Tasiilaq,GL,2022-02-01 03:39:57,65.6145,-37.6368,10.56,84,80,8.41
67,Lasa,IT,2022-02-01 03:39:57,46.6166,10.7002,32.88,94,100,8.16
68,Lebu,CL,2022-02-01 03:39:57,-37.6167,-73.65,57.22,80,0,16.98
69,Kupang,ID,2022-02-01 03:39:58,-10.1667,123.5833,88.38,74,40,14.97
70,Vostok,RU,2022-02-01 03:39:58,46.4856,135.8833,7.74,84,100,5.86
71,Marrakesh,MA,2022-02-01 03:39:58,31.6315,-8.0083,53.67,58,70,5.75
72,Bandarbeyla,SO,2022-02-01 03:39:59,9.4942,50.8122,76.03,78,71,13.56
73,Roald,NO,2022-02-01 03:39:59,62.5833,6.1333,32.32,74,100,10.36
74,Kodinsk,RU,2022-02-01 03:39:59,58.6881,99.1844,3.0,92,100,1.92
75,Cap Malheureux,MU,2022-02-01 03:39:59,-19.9842,57.6142,81.46,69,99,15.99
76,Marfino,RU,2022-02-01 03:40:00,55.7028,37.3822,29.48,100,100,11.18
77,Elat,IL,2022-02-01 03:40:00,29.5581,34.9482,48.04,57,40,0.0
78,Ust-Nera,RU,2022-02-01 03:40:01,64.5667,143.2,0.41,98,100,3.4
79,Dunedin,NZ,2022-02-01 03:40:01,-45.8742,170.5036,65.8,85,100,11.99
80,Luderitz,NA,2022-02-01 03:40:01,-26.6481,15.1594,63.59,95,41,7.27
81,Sampit,ID,2022-02-01 03:40:02,-2.5333,112.95,91.06,52,89,3.8
82,Metro,ID,2022-02-01 03:40:02,-5.1131,105.3067,84.9,68,100,6.31
83,Bowmore,US,2022-02-01 03:40:02,34.9421,-79.3031,39.87,63,0,5.75
84,San Cristobal,VE,2022-02-01 03:40:03,7.7669,-72.225,69.98,86,99,2.1
85,Avera,US,2022-02-01 03:40:03,33.194,-82.5271,41.72,57,16,4.56
86,Longyearbyen,SJ,2022-02-01 03:40:03,78.2186,15.6401,13.84,67,40,2.3
87,Mbamba,NG,2022-02-01 03:40:04,9.9833,13.1,59.59,26,6,4.32
88,Saint George,US,2022-02-01 03:35:42,37.1041,-113.5841,51.35,28,0,5.01
89,Cherskiy,RU,2022-02-01 03:40:04,68.75,161.3,-4.38,87,100,5.7
