City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
388,Matamoros,MX,25.5333,-103.25,43.63,51,1,7.0,clear sky,2022-02-05 01:58:34
389,Dalianwan,CN,39.0286,121.695,26.64,36,0,13.42,clear sky,2022-02-05 01:58:34
390,Namibe,AO,-15.1961,12.1522,70.79,70,16,6.55,few clouds,2022-02-05 01:58:34
391,Westport,US,41.1415,-73.3579,33.01,88,100,1.99,overcast clouds,2022-02-05 01:55:16
392,Arkadelphia,US,34.1209,-93.0538,29.97,93,0,5.75,clear sky,2022-02-05 01:55:18
393,Pingshan,CN,22.9938,114.7131,52.9,66,95,5.48,overcast clouds,2022-02-05 01:58:35
394,Haimen,CN,23.1935,116.6142,53.49,75,100,12.53,overcast clouds,2022-02-05 01:58:35
395,Mustasaari,FI,63.1142,21.6822,31.95,100,100,13.8,overcast clouds,2022-02-05 01:58:36
396,Indianola,US,41.3581,-93.5574,12.45,72,0,11.39,clear sky,2022-02-05 01:58:36
397,Aksarka,RU,66.5606,67.7975,-1.52,100,85,2.1,overcast clouds,2022-02-05 01:58:37
398,Mount Isa,AU,-20.7333,139.5,87.57,23,5,9.22,clear sky,2022-02-05 01:58:37
399,Anajatuba,BR,-3.2644,-44.6197,73.72,98,100,1.28,moderate rain,2022-02-05 01:58:37
400,La Palma,US,33.8464,-118.0467,67.51,29,0,1.99,clear sky,2022-02-05 01:58:38
401,Namatanai,PG,-3.6667,152.4333,85.5,66,80,9.04,broken clouds,2022-02-05 01:58:38
402,San Fernando,PH,15.0286,120.6898,84.22,56,90,14.85,overcast clouds,2022-02-05 01:58:38
403,Dennery,LC,13.8996,-60.8879,78.89,73,20,13.8,few clouds,2022-02-05 01:58:39
404,Salamanca,ES,40.8333,-6.0,35.38,90,93,3.42,overcast clouds,2022-02-05 01:55:46
405,Kokoda,PG,-8.8785,147.7407,90.63,56,61,2.93,broken clouds,2022-02-05 01:58:39
406,Nome,US,64.5011,-165.4064,4.15,65,100,5.68,overcast clouds,2022-02-05 01:58:19
407,Pontes E Lacerda,BR,-15.2261,-59.3353,72.77,90,26,2.21,scattered clouds,2022-02-05 01:58:39
408,Cockburn Town,TC,21.4612,-71.1419,75.16,64,40,11.5,scattered clouds,2022-02-05 01:58:40
409,Ipswich,GB,52.0592,1.1555,39.06,80,4,13.82,clear sky,2022-02-05 01:57:45
